sample_id,category,description
banana_000,banana,Vitamin ve mineral açısından zengin ürün.
banana_001,banana,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
banana_002,banana,"Besin değeri yüksek, lezzetli bir gıda."
banana_003,banana,Doğal koşullarda yetiştirilmiş ürün.
banana_004,banana,Doğal koşullarda yetiştirilmiş ürün.
banana_005,banana,Mutfakta çeşitli şekillerde kullanılabilen gıda.
banana_006,banana,Vitamin ve mineral açısından zengin ürün.
banana_007,banana,Vitamin ve mineral deposu bir ürün.
banana_008,banana,"Doğal, organik ve lezzetli bir gıda."
banana_009,banana,Mutfakta çeşitli yemeklerde kullanılabilen gıda.
banana_010,banana,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
banana_011,banana,"Taze, sağlıklı ve besleyici bir ürün."
banana_012,banana,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
banana_013,banana,"Doğal, organik ve lezzetli bir gıda."
banana_014,banana,Sağlıklı beslenme için önemli bir gıda maddesi.
banana_015,banana,Doğal koşullarda yetiştirilmiş ürün.
banana_016,banana,"Taze, sağlıklı ve besleyici gıda."
banana_017,banana,"Doğal, organik ve kaliteli bir ürün."
banana_018,banana,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
banana_019,banana,Vitamin ve mineral deposu bir ürün.
banana_020,banana,Sağlıklı beslenme için önemli bir gıda maddesi.
banana_021,banana,Vitamin ve mineral deposu bir ürün.
banana_022,banana,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
banana_023,banana,Doğal koşullarda yetiştirilmiş ürün.
banana_024,banana,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
tomato_000,tomato,Doğal koşullarda yetiştirilmiş ürün.
tomato_001,tomato,Doğal şekil ve renkte bir ürün.
tomato_002,tomato,Doğal koşullarda yetiştirilmiş ürün.
tomato_003,tomato,"Besin değeri yüksek, lezzetli bir gıda."
tomato_004,tomato,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
tomato_005,tomato,Doğal şekil ve renkte bir ürün.
tomato_006,tomato,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
tomato_007,tomato,"Vitamin açısından zengin, sağlıklı gıda."
tomato_008,tomato,Sağlıklı ve dengeli beslenme için ideal gıda.
tomato_009,tomato,"Vitamin açısından zengin, sağlıklı gıda."
tomato_010,tomato,Taze ve kaliteli bir ürün.
tomato_011,tomato,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
tomato_012,tomato,Mutfakta çeşitli şekillerde kullanılabilen gıda.
tomato_013,tomato,"Doğal, organik ve kaliteli bir ürün."
tomato_014,tomato,Vitamin ve mineral deposu bir ürün.
tomato_015,tomato,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
tomato_016,tomato,"Vitamin açısından zengin, sağlıklı gıda."
tomato_017,tomato,Mutfakta çeşitli yemeklerde kullanılabilen gıda.
tomato_018,tomato,Mutfakta çeşitli yemeklerde kullanılabilen gıda.
tomato_019,tomato,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
tomato_020,tomato,"Doğal, organik ve lezzetli bir gıda."
tomato_021,tomato,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
tomato_022,tomato,Mutfakta çeşitli şekillerde kullanılabilen gıda.
tomato_023,tomato,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
tomato_024,tomato,Taze ve kaliteli bir ürün.
cucumber_000,cucumber,"Taze, sağlıklı ve besleyici bir ürün."
cucumber_001,cucumber,"Taze, sağlıklı ve besleyici bir ürün."
cucumber_002,cucumber,"Taze, sulu ve lezzetli bir ürün."
cucumber_003,cucumber,Doğal şekil ve renkte bir ürün.
cucumber_004,cucumber,Vitamin ve mineral açısından zengin ürün.
cucumber_005,cucumber,Vitamin ve mineral açısından zengin ürün.
cucumber_006,cucumber,Doğal koşullarda yetiştirilmiş ürün.
cucumber_007,cucumber,Vitamin ve mineral deposu bir ürün.
cucumber_008,cucumber,Mutfakta çeşitli şekillerde kullanılabilen gıda.
cucumber_009,cucumber,"Vitamin açısından zengin, sağlıklı gıda."
cucumber_010,cucumber,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
cucumber_011,cucumber,Doğal renk ve dokuda bir ürün.
cucumber_012,cucumber,Vitamin ve mineral deposu bir ürün.
cucumber_013,cucumber,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
cucumber_014,cucumber,Mutfakta çeşitli yemeklerde kullanılabilen gıda.
